Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2021-09-22,340.8291931152344,347.41320660790336,338.326684902849,344.82132634927734,43692900
2021-09-23,343.5601501464844,347.244436588427,340.6206914406906,342.96430614109624,21806300
2021-09-24,350.5115051269531,351.8918772324821,339.9949716796902,340.85893163368206,18801900
2021-09-27,351.1272277832031,352.68634408018727,344.67231781299654,347.3833909106001,15205800
2021-09-28,338.28692626953125,347.17485280362484,336.5689465667117,345.55615516237805,21710300
2021-09-29,337.254150390625,342.83519056135003,336.52923371146676,340.76960230808635,14452200
2021-09-30,337.0357360839844,340.42205494779716,335.8043171003503,338.08838065803866,16547100
2021-10-01,340.6305847167969,342.626620946173,336.29090380487764,339.2402721276519,14905300
2021-10-04,323.9670104980469,333.6096454418782,320.4614987024491,333.2024859034126,42885000
2021-10-05,330.6502990722656,332.85490048506125,323.8974817514608,326.3006776114081,35377900
2021-10-06,331.3256530761719,332.0605102183304,323.5400101557325,327.45268197178007,26443000
2021-10-07,326.936279296875,336.48954276448234,326.6979538184617,334.66231004958246,28307500
2021-10-08,327.7604675292969,331.087235010964,326.42976659780624,329.21036149099893,15946100
2021-10-11,323.1924133300781,328.1676390888034,323.05336994266753,325.3572837172374,14708200
2021-10-12,321.5240478515625,322.12983213718235,315.168449699641,320.78919081230543,31658700
2021-10-13,322.2887268066406,324.73165369743293,320.4217632147295,324.7018630148336,14761500
2021-10-14,326.2510070800781,328.2271928788079,324.8309341725073,326.08217302467506,14302200
2021-10-15,322.5071716308594,326.7872710290615,320.27277972807207,326.3999618857561,21596400
2021-10-18,333.0137634277344,333.5599662951216,325.2281526617883,326.668106223406,21585000
2021-10-19,337.63153076171875,340.0843979551159,334.94033811013963,337.2938929273335,18786300
2021-10-20,338.41607666015625,341.5938910279222,337.0953159364956,341.0675687432612,13639500
2021-10-21,339.5083923339844,339.9354021619499,335.45667821474876,337.91948543047783,16354400
2021-10-22,322.3582458496094,327.34344274203374,318.88252448739775,324.08619650625366,35224500
2021-10-25,326.4099426269531,327.27390275405656,317.50216459273884,318.07812790884657,38409000
2021-10-26,313.6192932128906,327.91939752560313,307.45237909979846,325.9829424293362,65654000
2021-10-27,310.0541687011719,317.0354012261963,309.8952749651828,312.0105042608327,29971800
2021-10-28,314.7215576171875,323.26187566968946,305.9726441964319,310.81879676750776,50806800
2021-10-29,321.325439453125,323.73857554960784,317.3829776736138,317.96888127486596,37059400
2021-11-01,327.69097900390625,331.1369092399776,323.73857687912965,323.77830788954685,31518900
2021-11-02,325.8041687011719,332.467644744342,321.55385932113387,329.08129551893205,28353000
2021-11-03,329.31964111328125,329.8459634411217,320.9580652403525,325.21828490487985,20786500
2021-11-04,333.520263671875,334.9303963680135,330.34244948206873,331.69303111979514,22495300
2021-11-05,338.7635803222656,344.3843204441203,337.2839261751158,337.94926140259673,26872800
2021-11-08,336.27105712890625,342.39827042924827,335.99300064415445,342.03084189288523,18342500
2021-11-09,333.0435485839844,338.94234549630863,332.14979790457625,337.6414353317068,17556700
2021-11-10,325.36724853515625,330.87873729375485,323.2520190237952,330.1835809161458,21872600
2021-11-11,325.46649169921875,330.1537507579003,324.73163470083574,327.5320799248782,12376600
2021-11-12,338.5252990722656,339.48854119804446,327.49235212990004,327.8895713138474,25414300
2021-11-15,345.1490173339844,351.1967681291148,340.81927665538785,341.9513528589392,25076600
2021-11-16,340.5809326171875,344.24533809936,338.50543425102154,341.44489271681016,18181100
2021-11-17,338.4060974121094,344.8907981611505,337.7407621147875,341.8520275379172,13602800
2021-11-18,336.340576171875,340.0844135094988,332.97407739167016,337.3634300511978,17487200
2021-11-19,342.90472412109375,349.6575723262159,337.54218869453655,339.82625232654686,26488500
2021-11-22,338.6445007324219,351.3755482699117,338.1479691189288,346.6287072571534,27116800
2021-11-23,334.9105529785156,339.0317590592541,331.1865661032912,336.5788918252043,17225000
2021-11-24,338.694091796875,339.4090984270407,330.5013213830883,333.6691950342229,13566200
2021-11-26,330.8091735839844,335.40706056592376,329.59763539501955,333.47057540699547,14750700
2021-11-29,335.68511962890625,338.30682076869596,332.98398677543236,334.55304345009216,16650900
2021-11-30,322.20928955078125,333.4805633574845,321.1864356284006,332.6761845595874,25390000
2021-12-01,308.4454345703125,328.20738609874235,308.1375874041913,327.99885131334366,30329600
2021-12-02,308.23687744140625,312.41766470557803,305.0690036530589,309.23985058811394,24396200
2021-12-03,304.7115173339844,311.5735878782237,297.4224368749896,311.5537375237762,27471000
2021-12-06,315.66497802734375,317.87951975765236,304.2149611423583,305.99255266304647,21758300
2021-12-07,320.5707092285156,324.27484564424213,318.7732673727845,319.33932063498895,18794000
2021-12-08,328.2669372558594,330.4417478782362,320.82890430428074,322.7455088217183,19937700
2021-12-09,327.5321350097656,333.7983618194721,325.7247525848153,327.25407850637987,16879200
2021-12-10,327.46258544921875,332.7059578569133,324.1060270329738,330.2530905762638,14528000
2021-12-13,332.1696472167969,338.7238693550957,327.3036443722298,328.65422586839105,22948700
2021-12-14,331.42486572265625,333.37129119790376,325.37711514556946,325.7743343201105,20461000
2021-12-15,339.2899475097656,339.73680772798974,321.7325989098653,330.18354541056993,24681300
2021-12-16,332.5768737792969,342.0705559510486,331.4249167815428,336.62858877910594,22635000
2021-12-17,331.4745788574219,334.77152569712786,328.4556581996595,330.4914256670543,40012600
2021-12-20,323.1924133300781,327.61152615092544,320.2926556061012,327.4923634222205,17901800
2021-12-21,331.8817138671875,333.6692153987566,321.50419192067693,324.1457435126229,16116800
2021-12-22,328.15771484375,332.189548621576,325.98290422148904,331.48445199749193,16764600
2021-12-23,332.91448974609375,334.33459312161733,326.0822102396696,327.81016077558,13987700
2021-12-27,343.778564453125,345.4568434568832,335.6652561860855,336.49942552370055,17795000
2021-12-28,343.8183288574219,350.26329907524985,342.80541534319065,344.2254883901896,16637600
2021-12-29,340.56109619140625,347.264272790598,339.27012615391544,344.5035583071662,10747000
2021-12-30,341.97119140625,344.8213079338288,340.8391152417787,341.6137032403792,10593300
2021-12-31,334.0168151855469,341.0576296748755,333.9373531578227,340.64052979403345,12870500
2022-01-03,336.19158935546875,338.71394780170056,334.850948113297,335.9532336041818,14537900
2022-01-04,334.1955261230469,340.71001767926003,329.5678484085995,337.59181528292993,15998000
2022-01-05,321.9212951660156,333.43089345554057,321.5935673547167,330.70987981234885,20564500
2022-01-06,330.1537780761719,336.8172538693063,320.4813523499069,320.58066472960667,27962800
2022-01-07,329.48846435546875,334.66231540471273,326.59864665992654,330.4318562598737,14722000
2022-01-10,325.7942199707031,326.0623360988043,313.2418877828471,323.05335610436777,24942400
